序号,文件名称,文件编号,成文日期
480,财政部 国家税务总局关于农民专业合作社有关税收政策的通知,财税〔2008〕81号,2008/6/24
481,财政部 国家税务总局关于印发《境外官方参展者在中国境内采购用于上海世博会建馆和开展展览活动所耗用货物的退税管理办法》的通知,财税〔2008〕84号,2008/6/13
482,国家税务总局关于做好地震灾害期间税收征管工作的通知,国税函〔2008〕418号,2008/5/15
483,国家税务总局关于印发《增值税抵扣凭证协查管理办法》的通知,国税发〔2008〕51号,2008/5/14
484,国家税务总局关于四川省等遭受强烈地震灾害地区延期申报纳税的通知,国税函〔2008〕409号,2008/5/14
485,国家税务总局 关于印发《上海期货交易所黄金期货交易增值税征收管理办法》的通知,国税发〔2008〕46号,2008/5/4
486,财政部 国家税务总局关于有机肥产品免征增值税的通知,财税〔2008〕56号,2008/4/29
487,财政部 国家税务总局 关于核电行业税收政策有关问题的通知,财税〔2008〕38号,2008/4/3
488,国家税务总局 关于印发《增值税专用发票审核检查操作规程（试行）》的通知,国税发〔2008〕33号,2008/3/26
489,国家税务总局 关于林木销售和管护征收流转税问题的通知,国税函〔2008〕212号,2008/2/27
490,财政部 国家税务总局 关于黄金期货交易有关税收政策的通知,财税〔2008〕5号,2008/2/2
491,国家税务总局 关于利用废液（渣）生产白银增值税问题的批复,国税函〔2008〕116号,2008/1/29
492,财政部 国家税务总局 关于明确国产重型燃气轮机税收政策执行期限的通知,财税〔2008〕20号,2008/1/29
493,国家税务总局 关于印发《旧设备出口退（免）税暂行办法》的通知,国税发〔2008〕16号,2008/1/25
494,国家税务总局 关于出境口岸免税店有关增值税政策问题的通知,国税函〔2008〕81号,2008/1/24
495,财政部 国家税务总局关于增值税纳税人放弃免税权有关问题的通知,财税〔2007〕127号,2007/9/25
496,国家税务总局关于下放增值税专用发票最高开票限额审批权限的通知,国税函〔2007〕918号,2007/8/28
497,国家税务总局关于中国联通有限公司及所属分公司和中国联合通信有限公司贵州分公司业务销售附带赠送行为有关流转税问题的通知,国税函〔2007〕778号,2007/7/20
498,财政部 国家税务总局关于促进残疾人就业税收优惠政策的通知,财税〔2007〕92号,2007/6/15
499,财政部 国家税务总局关于免征滴灌带和滴灌管产品增值税的通知,财税〔2007〕83号,2007/5/30
500,国家税务总局关于加强防伪税控一机多票系统开具增值税普通发票管理有关问题的通知,国税函〔2007〕507号,2007/5/21
501,国家税务总局关于水利工程水费征收流转税问题的批复,国税函〔2007〕461号,2007/4/29
502,国家税务总局关于明确资源综合利用建材产品和废渣范围的通知,国税函〔2007〕446号,2007/4/25
503,财政部 国家税务总局关于继续免征国产抗艾滋病病毒药品增值税的通知,财税〔2007〕49号,2007/4/17
504,国家税务总局关于中国电信集团公司和中国电信股份有限公司所属子公司业务销售附带赠送行为征收流转税问题的通知,国税函〔2007〕414号,2007/4/6
505,国家税务总局关于纳税人进口货物增值税进项税额抵扣有关问题的通知,国税函〔2007〕350号,2007/3/22
506,国家税务总局关于修订增值税专用发票使用规定的补充通知,国税发〔2007〕18号,2007/2/16
507,国家税务总局关于受托种植植物、饲养动物征收流转税问题的通知,国税发〔2007〕17号,2007/2/15
508,国家税务总局关于中国石油化工集团公司油气田企业提供生产性劳务增值税问题的通知,国税函〔2007〕214号,2007/2/14
509,财政部 国家税务总局关于加快煤层气抽采有关税收政策问题的通知,财税〔2007〕16号,2007/2/7
510,国家税务总局关于粉煤灰（渣）征收增值税问题的批复,国税函〔2007〕158号,2007/2/5
511,财政部 国家税务总局关于明确硝酸铵适用增值税税率的通知,财税〔2007〕7号,2007/1/10
512,国家税务总局关于饲料级磷酸二氢钙产品增值税政策问题的通知,国税函〔2007〕10号,2007/1/8
513,国家税务总局关于纳税人折扣折让行为开具红字增值税专用发票问题的通知,国税函〔2006〕1279号,2006/12/29
514,国家税务总局关于中国移动有限公司内地子公司业务销售附带赠送行为征收流转税问题的通知,国税函〔2006〕1278号,2006/12/28
515,国家税务总局关于燃油电厂取得发电补贴有关增值税政策的通知,国税函〔2006〕1235号,2006/12/19
516,国家税务总局关于公路、内河货物运输业统一发票增值税抵扣有关问题的公告,国家税务总局公告2006年第2号,2006/12/14
517,国家税务总局关于旧版货运发票抵扣增值税进项税额有关问题的通知,国税函〔2006〕1187号,2006/12/11
518,财政部 国家税务总局关于豁免东北老工业基地企业历史欠税有关问题的通知,财税〔2006〕167号,2006/12/6
519,财政部 国家税务总局关于继续执行供热企业相关税收优惠政策的通知,财税〔2006〕117号,2006/11/27
520,国家税务总局关于全国范围内推行公路、内河货物运输业发票税控系统有关工作的通知,国税发〔2006〕163号,2006/11/6
521,国家税务总局关于金税工程增值税征管信息系统发现的涉嫌违规增值税专用发票处理问题的通知,国税函〔2006〕969号,2006/10/30
522,国家税务总局关于修订《增值税专用发票使用规定》的通知,国税发〔2006〕156号,2006/10/17
523,国家税务总局关于实施增值税普通发票“一窗式”比对的通知,国税函〔2006〕971号,2006/10/13
524,国家税务总局关于执行《增值税一般纳税人纳税申报“一窗式”管理操作规程》的通知,国税函〔2006〕824号,2006/9/4
525,财政部 国家税务总局关于继续对秦山一期核电站实行增值税先征后返政策的通知,财税〔2006〕119号,2006/9/4
526,国家税务总局关于《机动车销售统一发票》注册登记联加盖开票单位印章问题的通知,国税函〔2006〕813号,2006/8/28
527,国家税务总局关于印发《钻石交易增值税征收管理办法》的通知,国税发〔2006〕131号,2006/8/28
528,国家税务总局关于中小学课本配套产品适用增值税税率的批复,国税函〔2006〕770号,2006/8/15
529,国家税务总局关于水洗猪鬃征收增值税问题的批复,国税函〔2006〕773号,2006/8/15
530,财政部 国家税务总局关于到期停止执行重水和钒钛产品的增值税优惠政策的通知,财税〔2006〕95号,2006/8/3
531,国家税务总局关于转发《国家发展改革委关于降低增值税防伪税控系统专用产品价格的通知》的通知,国税函〔2006〕683号,2006/7/17
532,国家税务总局关于销售摩托车增值税小规模纳税人开具机动车销售统一发票有关问题的通知,国税函〔2006〕681号,2006/7/13
533,国家税务总局关于进行公路、内河货运发票税控系统试点工作的通知,国税发〔2006〕95号,2006/6/30
534,国家税务总局关于增加试点物流企业名单的通知,国税函〔2006〕575号,2006/6/14
535,国家税务总局关于推行增值税防伪税控一机多票系统的通知,国税发〔2006〕78号,2006/6/5
536,国家税务总局关于使用新版机动车销售统一发票有关问题的通知,国税函〔2006〕479号,2006/5/22
537,国家税务总局关于印发《国家税务总局关于推行增值税防伪税控一机多票系统的公告》的通知,国税发〔2006〕79号,2006/5/19
538,财政部 国家税务总局关于大秦铁路改制上市有关税收问题的通知,财税〔2006〕32号,2006/5/14
539,国家税务总局关于增值税网上申报有关问题的通知,国税发〔2006〕20号,2006/2/5
540,财政部 国家税务总局关于2010年上海世博会有关税收政策问题的通知,财税〔2005〕180号,2005/12/31
541,国家税务总局关于试点物流企业有关税收政策问题的通知,国税发〔2005〕208号,2005/12/29
542,财政部 国家税务总局关于变性燃料乙醇定点生产企业有关税收政策问题的通知,财税〔2005〕174号,2005/12/14
543,国家税务总局关于矿物质微量元素舔砖免征增值税问题的批复,国税函〔2005〕1127号,2005/11/30
544,财政部 国家税务总局关于增值税若干政策的通知,财税〔2005〕165号,2005/11/28
545,财政部 国家税务总局关于中国建银投资有限责任公司有关税收政策问题的通知,财税〔2005〕160号,2005/11/20
546,国家税务总局关于增值税一般纳税人期货交易有关增值税问题的通知,国税函〔2005〕1060号,2005/11/9
547,国家税务总局关于金融机构开展个人实物黄金交易业务增值税有关问题的通知,国税发〔2005〕178号,2005/11/7
548,国家税务总局关于部分资源综合利用产品增值税政策有关问题的批复,国税函〔2005〕1028号,2005/11/2
549,国家税务总局关于加强增值税专用发票管理有关问题的通知,国税发〔2005〕150号,2005/9/12
550,国家税务总局关于做好增值税普通发票一窗式票表比对准备工作的通知,国税发〔2005〕141号,2005/9/8
551,国家税务总局关于启用增值税普通发票有关问题的通知,国税发明电〔2005〕34号,2005/8/19
552,国家税务总局关于加强免征增值税货物专用发票管理的通知,国税函〔2005〕780号,2005/8/8
553,国家税务总局关于供电企业收取的免税农村电网维护费有关增值税问题的通知,国税函〔2005〕778号,2005/8/5
554,国家税务总局关于增值税一般纳税人取得的账外经营部分防伪税控增值税专用发票进项税额抵扣问题的批复,国税函〔2005〕763号,2005/8/3
555,国家税务总局关于规范未达增值税营业税起征点的个体工商户税收征收管理的通知,国税发〔2005〕123号,2005/7/20
556,国家税务总局关于新疆油田油气储运公司管道运输收入征收流转税问题的通知,国税函〔2005〕704号,2005/7/7
557,国家税务总局关于加强废旧物资增值税管理有关问题的通知,国税函〔2005〕544号,2005/5/27
558,国家税务总局关于增值税抵扣凭证审核检查有关问题的批复,国税函〔2005〕495号,2005/5/24
559,财政部 国家税务总局关于暂免征收尿素产品增值税的通知,财税〔2005〕87号,2005/5/23
560,国家税务总局关于由石油伴生气加工压缩成的石油液化气适用增值税税率的通知,国税发〔2005〕83号,2005/5/18
561,国家税务总局关于加强机动车辆税收管理有关问题的通知,国税发〔2005〕79号,2005/5/11
562,国家税务总局关于纳税人提供泥浆工程劳务征收流转税问题的批复,国税函〔2005〕375号,2005/4/27
563,国家税务总局关于印发《增值税一般纳税人纳税申报“一窗式”管理操作规程》的通知,国税发〔2005〕61号,2005/4/13
564,商务部 财政部 国家税务总局关于开展农产品连锁经营试点的通知,商建发〔2005〕1号,2005/4/4
565,财政部 海关总署 国家税务总局关于文化体制改革中经营性文化事业单位转制后企业的若干税收政策问题的通知,财税〔2005〕1号,2005/3/29
566,财政部 海关总署 国家税务总局关于文化体制改革试点中支持文化产业发展若干税收政策问题的通知,财税〔2005〕2号,2005/3/29
567,国家税务总局关于国家税务局为小规模纳税人代开发票及税款征收有关问题的通知,国税发〔2005〕18号,2005/2/28
568,国家税务总局关于增值税一般纳税人将增值税进项留抵税额抵减查补税款欠税问题的批复,国税函〔2005〕169号,2005/2/24
569,财政部 国家税务总局关于外国政府和国际组织无偿援助项目在华采购物资免征增值税的补充通知,财税〔2005〕13号,2005/1/21
570,国家税务总局关于农户手工编织的竹制和竹芒藤柳坯具征收增值税问题的批复,国税函〔2005〕56号,2005/1/18
571,国家税务总局关于增值税一般纳税人支付的货物运输代理费用不得抵扣进项税额的批复,国税函〔2005〕54号,2005/1/18
572,国家税务总局关于平板玻璃不得享受资源利用产品增值税优惠政策的批复,国税函〔2005〕34号,2005/1/14
573,国家税务总局关于增值税专用发票和其他抵扣凭证审核检查有关问题的补充通知,国税发〔2005〕6号,2005/1/10
574,财政部 国家税务总局关于民航国际航班使用保税航空燃油有关税收事宜的通知,财税〔2004〕218号,2004/12/30
575,国家税务总局关于加强税务机关代开增值税专用发票管理问题的通知,国税函〔2004〕1404号,2004/12/22
576,电力产品增值税征收管理办法,国家税务总局令第10号,2004/12/22
577,国家税务总局关于印发《税务机关代开增值税专用发票管理办法（试行）》的通知,国税发〔2004〕153号,2004/12/22
578,财政部 国家税务总局关于钾肥增值税有关问题的通知,财税〔2004〕197号,2004/12/14
579,国家税务总局关于增值税一般纳税人取得海关进口增值税专用缴款书抵扣进项税额问题的通知,国税发〔2004〕148号,2004/11/11
580,财政部 国家税务总局关于推广税控收款机有关税收政策的通知,财税〔2004〕167号,2004/11/9
581,国家税务总局关于增值税进项留抵税额抵减增值税欠税有关处理事项的通知,国税函〔2004〕1197号,2004/10/29
582,财政部 国家税务总局关于停止集成电路增值税退税政策的通知,财税〔2004〕174号,2004/10/25
583,国家税务总局关于商业企业向货物供应方收取的部分费用征收流转税问题的通知,国税发〔2004〕136号,2004/10/13
584,国家税务总局关于增值税一般纳税人用进项留抵税额抵减增值税欠税问题的通知,国税发〔2004〕112号,2004/8/30
585,国家税务总局关于取消小规模企业销售货物或应税劳务由税务所代开增值税专用发票审批后有关问题的通知,国税函〔2004〕895号,2004/7/14
586,国家税务总局关于取消饲料产品免征增值税审批程序后加强后续管理的通知,国税函〔2004〕884号,2004/7/7
587,国家税务总局关于取消包装物押金逾期期限审批后有关问题的通知,国税函〔2004〕827号,2004/6/25
588,国家税务总局关于取消为纳税人提供增值税专用发票开票服务的中介机构资格审批后有关问题的通知,国税函〔2004〕822号,2004/6/25
589,国家税务总局关于取消防伪税控企业资格认定的通知,国税函〔2004〕823号,2004/6/25
590,国家税务总局关于严格执行税法规定不得实行边境贸易“双倍抵扣”政策的通知,国税函〔2004〕830号,2004/6/21
591,国家税务总局关于中国人寿保险（集团）公司重组改制后有关税务问题的通知,国税函〔2004〕852号,2004/6/11
592,国家税务总局关于中国再生资源开发公司废旧物资回收经营业务中有关税收问题的通知,国税函〔2004〕736号,2004/6/7
593,国家税务总局 国家质量监督检验检疫总局关于调整税控加油机、出租汽车税控计价器型式批准和制造许可证办理程序的通知,国税函〔2004〕662号,2004/5/25
594,国家税务总局关于加强废旧物资回收经营单位和使用废旧物资生产企业增值税征收管理的通知,国税发〔2004〕60号,2004/5/21
595,国家税务总局关于电力公司过网费收入征收增值税问题的批复,国税函〔2004〕607号,2004/5/19
596,财政部 国家税务总局关于中国科技资料进出口总公司销售进口图书享受免征国内销售环节增值税政策的通知,财税〔2004〕69号,2004/3/30
597,国家税务总局关于血液制品增值税政策的批复,国税函〔2004〕335号,2004/3/8
598,财政部 国家税务总局关于教育税收政策的通知,财税〔2004〕39号,2004/2/5
599,国家税务总局关于开展扩大增值税抵扣范围企业认定工作的通知,国税函〔2004〕143号,2004/1/29
600,国家税务总局关于加强海关进口增值税专用缴款书和废旧物资发票管理有关问题的通知,国税函〔2004〕128号,2004/1/21
601,国家税务总局关于使用增值税专用发票认证信息审核出口退税的紧急通知,国税函〔2004〕133号,2004/1/21
602,国家税务总局关于进一步落实税收优惠政策、促进农民增加收入的通知,国税发〔2004〕13号,2004/1/20
603,国家发展和改革委员会 财政部 国家税务总局关于印发《资源综合利用目录（2003年修订）》的通知,发改环资〔2004〕73号,2004/1/8
604,国家税务总局关于债转股企业实物投资免征增值税政策有关问题的批复,国税函〔2003〕1394号,2003/12/29
605,国家税务总局关于饲用鱼油产品免征增值税的批复,国税函〔2003〕1395号,2003/12/29
606,国家税务总局关于增值税起征点调整后有关问题的批复,国税函〔2003〕1396号,2003/12/29
607,国家税务总局关于个体工商户销售农产品有关税收政策问题的通知,国税发〔2003〕149号,2003/12/23
608,国家税务总局关于天然二氧化碳适用增值税税率的批复,国税函〔2003〕1324号,2003/12/10
609,国家税务总局关于进一步加强加油站增值税征收管理有关问题的通知,国税发〔2003〕142号,2003/11/26
610,财政部 国家税务总局关于中国长江电力股份有限公司上市及收购三峡发电资产有关税收问题的通知,财税〔2003〕235号,2003/11/21
611,财政部 国家税务总局关于“十五”期间外汇借款项目以税还贷政策执行中有关问题的通知,财企〔2003〕293号,2003/11/19
612,财政部 国家税务总局关于中国东方资产管理公司处置港澳国际（集团）有限公司有关资产税收政策问题的通知,财税〔2003〕212号,2003/11/10
613,国家税务总局关于中国石油天然气集团公司所属石油工程技术服务公司增值税管理问题的通知,国税函〔2003〕1193号,2003/10/27
614,国家税务总局对利用废渣生产的水泥熟料享受资源综合利用产品增值税政策的批复,国税函〔2003〕1164号,2003/10/20
615,国家税务总局关于印发《国家税务总局关于加强货物运输业税收管理及运输发票增值税抵扣管理的公告》的通知,国税发〔2003〕120号,2003/10/18
616,国家税务总局关于建材产品征收增值税问题的批复,国税函〔2003〕1151号,2003/10/17
617,国家税务总局关于加强货物运输业税收征收管理的通知,国税发〔2003〕121号,2003/10/17
618,国家税务总局关于调整饲料生产企业饲料免征增值税审批程序的通知,国税发〔2003〕114号,2003/10/10
619,国家税务总局关于不带动力的手扶拖拉机和三轮农用运输车适用13%税率执行时间的批复,国税函〔2003〕1118号,2003/10/9
620,财政部 海关总署 国家税务总局关于农药税收政策的通知,财税〔2003〕186号,2003/9/23
621,国家税务总局关于铁路运费进项税额抵扣有关问题的补充通知,国税函〔2003〕970号,2003/8/22
622,国家税务总局关于进一步做好增值税纳税申报“一窗式”管理工作的通知,国税函〔2003〕962号,2003/8/19
623,财政部 国家税务总局关于被撤销金融机构有关税收政策问题的通知,财税〔2003〕141号,2003/7/3
624,国家税务总局关于认真做好增值税专用发票发售、填开管理等有关问题的通知,国税函〔2003〕785号,2003/7/2
625,国家税务总局关于印发《增值税专用发票抵扣联信息企业采集方式管理规定》的通知,国税发〔2003〕71号,2003/6/19
626,国家税务总局关于印发《增值税防伪税控主机共享服务系统管理暂行办法》的通知,国税发〔2003〕67号,2003/6/16
627,国家税务总局关于印发《国家税务总局关于推广应用增值税防伪税控主机共享服务系统有关问题的通告》的通知,国税函〔2003〕588号,2003/6/2
628,财政部 国家税务总局关于大连证券破产及财产处置过程中有关税收政策问题的通知,财税〔2003〕88号,2003/5/20
629,国家税务总局关于重新修订《增值税一般纳税人纳税申报办法》的通知,国税发〔2003〕53号,2003/5/13
630,财政部 国家税务总局 海关总署科技部 新闻出版总署关于鼓励科普事业发展税收政策问题的通知,财税〔2003〕55号,2003/5/8
631,国家税务总局关于茴油、毛椰子油适用增值税税率的批复,国税函〔2003〕426号,2003/4/18
632,财政部 国家税务总局关于4家资产管理公司接收资本金项下的资产在办理过户时有关税收政策问题的通知,财税〔2003〕21号,2003/2/21
633,国家税务总局关于增值税一般纳税人取得防伪税控系统开具的增值税专用发票进项税额抵扣问题的通知,国税发〔2003〕17号,2003/2/14
634,财政部 国家税务总局关于营业税若干政策问题的通知,财税〔2003〕16号,2003/1/15
635,财政部 国家税务总局关于下岗失业人员再就业有关税收政策问题的通知,财税〔2002〕208号,2002/12/27
636,国家税务总局关于企业改制中资产评估减值发生的流动资产损失进项税额抵扣问题的批复,国税函〔2002〕1103号,2002/12/20
637,财政部 国家税务总局关于停止经济特区地产地销货物增值税优惠政策的通知,财税〔2002〕164号,2002/11/23
638,国家税务总局关于印发《黄金交易增值税征收管理办法》的通知,国税发明电〔2002〕47号,2002/10/23
639,国家税务总局关于宠物饲料征收增值税问题的批复,国税函〔2002〕812号,2002/9/12
640,财政部 国家税务总局关于黄金税收政策问题的通知,财税〔2002〕142号,2002/9/12
641,财政部 国家税务总局关于“十五”期间对1994年12月31日前外汇借款项目继续实行部分以税还贷政策的通知,财企〔2002〕368号,2002/9/10
642,国家税务总局关于纳税人以资金结算网络方式收取货款增值税纳税地点问题的通知,国税函〔2002〕802号,2002/9/3
643,财政部 国家税务总局关于西气东输项目有关税收政策的通知,财税〔2002〕111号,2002/7/31
644,国家税务总局关于政府储备食用植物油销售业务开具增值税专用发票问题的通知,国税函〔2002〕531号,2002/6/10
645,财政部 国家税务总局关于不带动力的手扶拖拉机和三轮农用运输车增值税政策的通知,财税〔2002〕89号,2002/6/6
646,国家税务总局关于增值税一般纳税人期货交易进项税额抵扣问题的通知,国税发〔2002〕45号,2002/4/29
647,成品油零售加油站增值税征收管理办法,国家税务总局令第2号,2002/4/2
648,国家税务总局 国家质量监督检验检疫总局 国家经济贸易委员会关于进一步做好加油机安装税控装置和整机防爆工作的通知,国税发〔2002〕3号,2002/2/1
649,财政部 国家税务总局 外经贸部关于外国政府和国际组织无偿援助项目在华采购物资免征增值税问题的通知,财税〔2002〕2号,2002/1/11
650,国家质量监督检验检疫局 国家税务总局关于对IC卡税控燃油加油机实施计量监督管理的通知,国质检量联〔2001〕189号,2001/12/7
651,国家税务总局关于加油站一律按照增值税一般纳税人征税的通知,国税函〔2001〕882号,2001/12/3
652,国家税务总局关于退耕还林还草补助粮免征增值税问题的通知,国税发〔2001〕131号,2001/11/26
653,国家税务总局关于中国北方机车车辆工业集团公司所属企业的铁路货车修理业务免征增值税的通知,国税函〔2001〕862号,2001/11/26
654,国家税务总局关于中国联通有限公司有关税收问题的通知,国税函〔2001〕762号,2001/10/18
655,国家税务总局关于金税工程发现的涉嫌违规增值税专用发票处理问题的通知,国税函〔2001〕730号,2001/9/28
656,国家税务总局关于新闻产品征收流转税问题的通知,国税发〔2001〕105号,2001/9/13
657,财政部 国家税务总局关于对废旧物资回收经营业务增值税政策的补充通知,财税〔2001〕138号,2001/8/16
658,财政部 国家税务总局关于豆粕等粕类产品征免增值税政策的通知,财税〔2001〕30号,2001/8/7
659,财政部 国家税务总局关于农业生产资料征免增值税政策的通知,财税〔2001〕113号,2001/7/20
660,财政部 国家税务总局关于饲料产品免征增值税问题的通知,财税〔2001〕121号,2001/7/12
661,财政部 国家税务总局关于污水处理费有关增值税政策的通知,财税〔2001〕97号,2001/6/19
662,财政部 国家税务总局关于停止执行商业企业批发肉、禽、蛋水产品和蔬菜业务增值税先征后返政策的通知,财税〔2001〕46号,2001/4/18
663,国家税务总局关于增值税一般纳税人平销行为征收增值税问题的批复,国税函〔2001〕247号,2001/4/5
664,国家税务总局关于增值税若干税收政策问题的批复,国税函〔2001〕248号,2001/4/5
665,财政部 国家税务总局关于铁路货车修理免征增值税的通知,财税〔2001〕54号,2001/4/3
666,财政部 国家税务总局关于中国信达等4家金融资产管理公司税收政策问题的通知,财税〔2001〕10号,2001/2/20
667,国家税务总局 国家质量技术监督局关于印发《关于停止生产销售非税控加油机和非税控计价器的通告》的通知,国税发〔2000〕198号,2000/12/22
668,国家税务总局关于合九铁路运费抵扣进项税额问题的批复,国税函〔2000〕1037号,2000/12/14
669,国家税务总局关于油气田企业增值税问题的补充通知,国税发〔2000〕195号,2000/11/30
670,国家税务总局关于印发《国家税务总局关于推行增值税防伪税控系统的通告》的通知,国税发〔2000〕191号,2000/11/21
671,国家税务总局关于出版物广告收入有关增值税问题的通知,国税发〔2000〕188号,2000/11/17
672,国家税务总局关于纳税人善意取得虚开的增值税专用发票处理问题的通知,国税发〔2000〕187号,2000/11/16
673,国家税务总局关于推行增值税防伪税控系统若干问题的通知,国税发〔2000〕183号,2000/11/9
674,国家税务总局关于《国家税务总局关于纳税人取得虚开的增值税专用发票处理问题的通知》的补充通知,国税发〔2000〕182号,2000/11/6
675,财政部 国家税务总局关于飞机维修增值税问题的通知,财税〔2000〕102号,2000/10/12
676,财政部 国家税务总局关于校办企业免税问题的通知,财税〔2000〕92号,2000/9/28
677,国家税务总局关于增值税一般纳税人恢复抵扣进项税额资格后有关问题的批复,国税函〔2000〕584号,2000/8/2
678,财政部 国家税务总局 中国人民银行关于配售出口黄金有关税收规定的通知,财税〔2000〕3号,2000/7/28
679,国家税务总局关于计算机软件征收流转税若干问题的通知,国税发〔2000〕133号,2000/7/20
680,财政部 国家税务总局关于医疗卫生机构有关税收政策的通知,财税〔2000〕42号,2000/7/10
681,国家税务总局关于融资租赁业务征收流转税问题的通知,国税函〔2000〕514号,2000/7/7
682,财政部 国家税务总局 海关总署关于鼓励软件产业和集成电路产业发展有关税收政策问题的通知,财税〔2000〕25号,2000/5/12
683,财政部 国家税务总局关于校办企业有关税收政策问题的通知,财税字〔2000〕33号,2000/3/23
684,国家税务总局关于白银生产环节征收增值税的通知,国税发〔2000〕51号,2000/3/17
685,国务院办公厅转发国家税务总局关于全面推广应用增值税防伪税控系统意见的通知,国办发〔2000〕12号,2000/2/12
686,国家税务总局关于粮食企业增值税管理问题的补充通知,国税函〔1999〕829号,1999/12/3
687,国家税务总局关于印发《增值税防伪税控系统管理办法》的通知,国税发〔1999〕221号,1999/12/1
688,国家税务总局关于修改《国家税务总局关于增值税一般纳税人发生偷税行为如何确定偷税数额和补税罚款的通知》的通知,国税函〔1999〕739号,1999/11/12
689,财政部 国家税务总局关于贯彻落实《中共中央 国务院关于加强技术创新，发展高科技，实现产业化的决定》有关税收问题的通知,财税字〔1999〕273号,1999/11/2
690,财政部 国家税务总局关于血站有关税收问题的通知,财税字〔1999〕264号,1999/10/13
691,国家税务总局关于加强国有粮食购销企业增值税管理有关问题的通知,国税函〔1999〕560号,1999/8/18
692,国家税务总局关于国有粮食购销企业开具粮食销售发票有关问题的通知,国税明电〔1999〕10号,1999/7/19
693,财政部 国家税务总局关于粮食企业增值税征免问题的通知,财税字〔1999〕198号,1999/6/29
694,国家税务总局关于生猪生产流通过程中有关税收问题的通知,国税发〔1999〕113号,1999/6/9
695,国家税务总局关于外国企业来华参展后销售展品有关税务处理问题的批复,国税函〔1999〕207号,1999/4/26
696,国家税务总局关于卫生防疫站调拨生物制品及药械征收增值税的批复,国税函〔1999〕191号,1999/4/19
697,国家税务总局关于拍卖行取得的拍卖收入征收增值税、营业税有关问题的通知,国税发〔1999〕40号,1999/3/11
698,国家税务总局关于修订“饲料”注释及加强饲料征免增值税管理问题的通知,国税发〔1999〕39号,1999/3/8
699,国家税务总局关于企业所属机构间移送货物征收增值税问题的补充通知,国税函〔1998〕718号,1998/12/3
700,国家税务总局关于严禁对增值税一般纳税人实行定率征收增值税问题的通知,国税发〔1998〕183号,1998/10/21
701,国家税务总局关于企业所属机构间移送货物征收增值税问题的通知,国税发〔1998〕137号,1998/8/26
702,国家税务总局关于电梯保养、维修收入征税问题的批复,国税函〔1998〕390号,1998/6/29
703,国家税务总局关于增值税一般纳税人发生偷税行为如何确定偷税数额和补税罚款的通知,国税发〔1998〕66号,1998/5/12
704,财政部 国家税务总局关于免征农村电网维护费增值税问题的通知,财税字〔1998〕47号,1998/3/5
705,财政部 国家税务总局关于1994年12月31日前外汇借款项目恢复实行部分以税还贷政策的通知,财工字〔1998〕24号,1998/2/9
706,财政部 国家税务总局关于民贸企业有关税收问题的通知,财税字〔1997〕124号,1998/1/7
707,财政部 国家税务总局关于连锁经营企业增值税纳税地点问题的通知,财税字〔1997〕97号,1997/11/11
708,国家税务总局关于平销行为征收增值税问题的通知,国税发〔1997〕167号,1997/10/31
709,财政部 国家税务总局关于对重复列入新产品名单的产品不得享受增值税优惠政策的批复,财税字〔1997〕129号,1997/10/16
710,财政部 国家税务总局关于供电工程贴费不征收增值税和营业税的通知,财税字〔1997〕102号,1997/9/5
711,国家税务总局关于厦门邮电纵横股份有限公司销售传呼机、移动电话征收增值税问题的批复,国税函〔1997〕504号,1997/9/5
712,国家税务总局关于纳税人取得虚开的增值税专用发票处理问题的通知,国税发〔1997〕134号,1997/8/8
713,国家税务总局关于正大康地（深圳）有限公司生产经营饲料添加剂预混料应否免征增值税问题的批复,国税函〔1997〕424号,1997/7/22
714,国家税务总局关于淀粉的增值税适用税率问题的批复,国税函〔1996〕744号,1996/12/31
715,国家税务总局转发《最高人民法院关于适用〈全国人民代表大会常务委员会关于惩治虚开、伪造和非法出售增值税专用发票犯罪的决定〉的若干问题的解释》的通知,国税发〔1996〕210号,1996/11/15
716,财政部 国家税务总局关于体育彩票发行收入税收问题的通知,财税字〔1996〕77号,1996/11/7
717,国家税务总局关于农牧业救灾柴油征收增值税问题的批复,国税函〔1996〕612号,1996/10/29
718,国家税务总局关于铁路支线维护费征收增值税问题的通知,国税函〔1996〕561号,1996/9/24
719,国家税务总局关于填开增值税专用发票有关问题的通知,国税发〔1996〕166号,1996/9/18
720,国家税务总局关于易货贸易进口环节减征的增值税税款抵扣问题的通知,国税函〔1996〕550号,1996/9/17
721,财政部 国家税务总局关于金银首饰等货物征收增值税问题的通知,财税字〔1996〕74号,1996/9/14
722,国家税务总局关于增值税若干征管问题的通知,国税发〔1996〕155号,1996/9/9
723,国家税务总局关于原油管理费征收增值税问题的通知,国税发〔1996〕111号,1996/6/26
724,财政部 国家税务总局关于对铁路工附业单位恢复征收增值税问题的通知,财税字〔1996〕35号,1996/5/30
725,国家税务总局关于加强进口环节增值税专用缴款书抵扣税款管理的通知,国税发〔1996〕32号,1996/2/14
726,全国人民代表大会常务委员会关于惩治虚开、伪造和非法出售增值税专用发票犯罪的决定,中华人民共和国主席令第57号,1995/10/30
727,国家税务总局关于加强增值税征收管理若干问题的通知,国税发〔1995〕192号,1995/10/18
728,财政部 国家税务总局关于罚没物品征免增值税问题的通知,财税字〔1995〕69号,1995/9/4
729,财政部 国家税务总局关于印发《农业产品征税范围注释》的通知,财税字〔1995〕52号,1995/6/15
